wavenumber,neuron-1 sub,neuron-2 sub,neuron-3 sub,neuron-4 sub,neuron-5 sub,neuron-6 sub
773,188.93,354.87,74.864,-42.169,133.31,280.33
774,185.53,336.61,51.857,7.9813,146.06,303.33
775,182.14,318.36,28.85,58.131,158.82,326.33
776,178.74,300.11,5.8425,108.28,171.57,349.32
777,200.68,281.42,7.7992,139.18,166.95,313.72
778,230.18,262.61,17.213,164.32,157.15,260.61
779,259.69,243.79,26.626,189.47,147.35,207.5
780,289.19,224.97,36.04,214.61,137.55,154.39
781,299.58,213.63,19.548,210.08,99.383,156.12
782,308.69,202.78,1.3137,203.54,59.313,161.53
783,317.79,191.94,-16.92,197.01,19.243,166.94
784,320.79,181.58,-32.348,188.53,-18.596,170.95
785,272.86,175.3,-24.352,163.82,-37.821,163.25
786,224.93,169.03,-16.357,139.1,-57.045,155.55
787,177,162.75,-8.3619,114.38,-76.269,147.85
788,121.52,150.31,1.4353,87.455,-87.219,128.12
789,46.755,122.11,15.843,54.872,-76.996,77.604
790,-28.015,93.911,30.251,22.289,-66.772,27.084
791,-102.79,65.71,44.659,-10.294,-56.549,-23.436
792,-119.94,41.898,45.571,-13.608,-31.056,-45.976
793,-69.186,23.26,30.576,17.577,12.433,-35.538
794,-18.432,4.6226,15.582,48.762,55.922,-25.1
795,32.322,-14.015,0.58796,79.947,99.411,-14.661
796,83.563,2.9332,-7.6266,86.365,111.16,15.316
797,135.07,39.554,-12.093,79.093,105.37,56.095
798,186.58,76.174,-16.56,71.82,99.581,96.874
799,238.09,112.79,-21.027,64.548,93.789,137.65
800,229.15,111.56,17.631,62.161,107.87,134.87
801,208,102.68,64.998,60.761,125.96,123.3
802,186.86,93.797,112.36,59.36,144.05,111.72
803,165.87,86.306,158.65,58.252,160.62,100.3
804,151.69,137.82,158.92,69.542,112.22,95.658
805,137.51,189.33,159.19,80.831,63.814,91.012
806,123.33,240.83,159.47,92.121,15.413,86.366
807,123.9,288.89,157.83,90.514,-10.702,87.119
808,177.07,324.64,149.38,42.915,42.664,107.12
809,230.24,360.39,140.92,-4.6842,96.03,127.12
810,283.4,396.14,132.47,-52.283,149.4,147.13
811,307.72,441.21,153.91,-35.524,194.92,168.67
812,292.18,499.14,216.64,70.11,229.62,192.36
813,276.65,557.07,279.36,175.74,264.32,216.04
814,261.12,615,342.09,281.38,299.03,239.72
815,272.4,596.59,349.47,291.15,311.54,236.53
816,299.75,532.37,323.65,243.4,310.73,217.21
817,327.11,468.16,297.83,195.65,309.92,197.89
818,354.47,403.94,272.01,147.9,309.12,178.57
819,353.19,386.28,263.83,168.91,345.03,230.59
820,346.37,377.63,259.06,203.22,388.04,296.41
821,339.55,368.97,254.29,237.53,431.05,362.23
822,330.68,360.01,249.03,265.49,471.26,423.52
823,282.98,345.31,234.37,173.01,458.11,398.83
824,235.28,330.61,219.72,80.519,444.96,374.13
825,187.58,315.91,205.06,-11.968,431.81,349.43
826,158.01,309.12,188.67,-67.706,429.18,338.44
827,178,323.92,167.53,-23.07,455.29,364.87
828,197.99,338.71,146.38,21.566,481.39,391.3
829,217.98,353.51,125.24,66.202,507.5,417.73
830,202.89,355.76,109.64,99.511,493.13,404.35
831,151.46,345.02,99.781,121.08,436.79,349.71
832,100.02,334.27,89.923,142.64,380.45,295.06
833,48.587,323.53,80.065,164.21,324.11,240.42
834,30.05,289.61,93.047,145.59,278.38,219.63
835,24.433,246.6,115,111.19,236.83,212.14
836,18.817,203.58,136.95,76.783,195.28,204.66
837,13.201,160.56,158.91,42.38,153.73,197.17
838,36.662,172.89,150.2,80.989,204.19,209.39
839,61.654,188.13,139.87,123.44,259.49,222.66
840,86.646,203.37,129.55,165.89,314.79,235.92
841,105.55,215.54,125.52,191.64,360.83,245.62
842,97.795,214.27,149.02,144.27,366.3,239.69
843,90.041,213,172.53,96.895,371.77,233.76
844,82.288,211.73,196.03,49.524,377.24,227.83
845,92.644,224.95,207.72,26.109,404.66,234.6
846,127.5,257.77,203.43,35.106,461.76,258.53
847,162.36,290.58,199.13,44.104,518.86,282.46
848,197.21,323.39,194.84,53.101,575.96,306.4
849,209.96,337.92,189.4,78.35,552.25,313.95
850,211.82,343.44,183.39,111.6,488.73,313.44
851,213.67,348.96,177.39,144.86,425.22,312.93
852,215.53,354.48,171.38,178.11,361.71,312.42
853,209.69,340.7,195.69,190.89,322.99,327.26
854,203.18,325.27,222.6,201.91,286.39,343.42
855,196.68,309.85,249.5,212.93,249.8,359.57
856,191.72,290.2,265.06,219.03,221.81,366.74
857,194.07,250.7,227.07,201.94,234.37,331.55
858,196.43,211.2,189.09,184.85,246.93,296.36
859,198.78,171.7,151.11,167.76,259.49,261.17
860,191.32,138.58,111.6,136.53,252.94,216.32
861,170.98,113.85,70.089,86.708,221.26,158.77
862,150.63,89.12,28.573,36.889,189.58,101.22
863,130.29,64.392,-12.942,-12.929,157.9,43.673
864,105.3,43.15,-2.0428,-29.049,132.14,22.455
865,78.25,23.451,32.077,-30.241,108.99,17.331
866,51.203,3.7522,66.196,-31.432,85.845,12.208
867,24.156,-15.946,100.32,-32.624,62.699,7.0839
868,66.613,-0.3944,94.542,-1.1162,131.31,55.459
869,111.97,16.626,87.106,31.754,203.74,106.06
