organ,day,group,treatment,sample_name,baseline_2300_2600,denominator_2930,1260,1300,1442,1580,1655,2142,2180
Ovary,D40,2_RAPA,RAPA,D40_RAPA_1,311.9953333333333,2072.518666666667,0.2715163321407961,0.28326773413862294,0.28317847076890024,0.14711697007634508,0.266471745489707,0.029884732843580366,0.027781494851031506
Ovary,D40,2_RAPA,RAPA,D40_RAPA_2,1835.351596491228,2448.9004035087723,0.335470728957242,0.38997233294602257,0.40665614742106626,0.27281811973713405,0.35929979114220845,0.012594797021789696,0.02771341921930835
Ovary,D40,2_RAPA,RAPA,D40_RAPA_3,1045.646653508772,2772.663346491228,0.2597327033599557,0.2933624623128408,0.3295010004180175,0.18169149425542122,0.2757314000845817,0.0024879856041512627,0.016310074769249013
Ovary,D40,2_RAPA,RAPA,D40_RAPA_4,1187.6520307017545,5703.815969298245,0.2234723168067199,0.25147041507279133,0.2821752977237559,0.11750343505221891,0.23234953168752004,0.0036289686430385085,0.013393834883428875
Ovary,D40,2_RAPA,RAPA,D40_RAPA_5,3503.879679824562,5355.844320175438,0.2798653639966777,0.3245660658259194,0.367517650347044,0.2233790320731818,0.3477907886826744,0.0,0.01482050549461044
Ovary,D40,4_CTRL,CTRL,rapa_D40_CTRL_1,263.67160526315786,3664.2713947368425,0.15186931719526955,0.17340347542201487,0.23064077512128087,0.043052868563020784,0.17698126718133442,0.0,0.0
Ovary,D40,4_CTRL,CTRL,rapa_D40_CTRL_2,627.9669210526315,800.6860789473683,0.12420982650043794,0.26254369155978136,0.273371905297927,0.02873170840888416,0.15770360228239808,0.0,0.0
Ovary,D40,4_CTRL,CTRL,rapa_D40_CTRL_3,292.13906578947365,1544.215934210526,0.08638748717401817,0.15643921867315214,0.2046934804957355,0.0,0.10272004756356903,0.0,0.0
Ovary,D40,4_CTRL,CTRL,rapa_D40_CTRL_4,1719.494456140351,2006.3145438596487,0.18441851253685196,0.22309490066227644,0.2840429710305258,0.12349087764823624,0.25571241828945174,0.0,0.023051990527206294
Ovary,D40,4_CTRL,CTRL,rapa_D40_CTRL_5,764.0241578947368,2836.7408421052633,0.15377183408179537,0.17198428381747796,0.18605465619960165,0.05117909960273907,0.15544946353929223,0.0,0.0
